순위,종목코드,종목명,시장구분,시작일기준가,종료일종가,대비,등락률,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"1","004410","서울식품","KOSPI","169","207","38","22.49","9271027397","37233042","2001376502462","8037656636"
"2","005930","삼성전자","KOSPI","61300","87200","25900","42.25","5837422519","23443464","348486212871774","1399543023581"
"3","093230","이아이디","KOSPI","223","279","56","25.11","5138940479","20638315","1597719777730","6416545292"
"4","001510","SK증권","KOSPI","622","903","281","45.18","4635662351","18617118","4191292444870","16832499779"
"5","025560","미래산업","KOSPI","6456","3255","-3201","-49.58","4349171197","17466551","512573648767","2058528710"
"6","011930","신성이엔지","KOSPI","996","3520","2524","253.41","4327557120","17379747","11382482142980","45712779691"
"7","003060","에이프로젠제약","KOSPI","1287","1235","-52","-4.04","3315373700","13314754","5729408158335","23009671319"
"8","092220","KEC","KOSPI","1070","3010","1940","181.31","3308255979","13286169","7494661378960","30099041683"
"9","008350","남선알미늄","KOSPI","4265","4335","70","1.64","3154527742","12668786","16902001727295","67879525009"
"10","014160","대영포장","KOSPI","1130","1730","600","53.10","2642307865","10611678","4048221212154","16257916515"
"11","001440","대한전선","KOSPI","625","1400","775","124.00","2588118126","10394049","2805686616733","11267817738"
"12","007460","에이프로젠 KIC","KOSPI","2745","1950","-795","-28.96","2519038398","10116620","6851032854860","27514188172"
"13","025750","한솔홈데코","KOSPI","1150","2360","1210","105.22","2493051844","10012256","4922412715753","19768725766"
"14","010140","삼성중공업","KOSPI","7410","6810","-600","-8.10","2391258751","9603449","14528535282010","58347531253"
"15","005390","신성통상","KOSPI","1565","1635","70","4.47","2241689933","9002771","3958599774579","15897991063"
"16","088350","한화생명","KOSPI","2225","2995","770","34.61","2204515919","8853478","4323209191129","17362285908"
"17","102280","쌍방울","KOSPI","893","693","-200","-22.40","2203072017","8847679","2055889035905","8256582474"
"18","042670","두산인프라코어","KOSPI","5260","8160","2900","55.13","2185112986","8775554","16206653310765","65086961087"
"19","019170","신풍제약","KOSPI","6990","98000","91010","1302.00","2059425157","8270784","87475160616580","351305865930"
"20","047400","유니온머티리얼","KOSPI","2430","3940","1510","62.14","2058463759","8266923","8562721160472","34388438395"
"21","011000","진원생명과학","KOSPI","2221","19000","16779","755.47","2009191008","8069040","31874270099110","128009116864"
"22","026890","디피씨","KOSPI","5590","9860","4270","76.39","2008387326","8065813","22046441812685","88539926959"
"23","033180","필룩스","KOSPI","7240","7480","240","3.31","1874464391","7527969","10130543892755","40684915232"
"24","002630","오리엔트바이오","KOSPI","743","2005","1262","169.85","1750909781","7031766","2008657707831","8066898425"
"25","020560","아시아나항공","KOSPI","22062","15700","-6362","-28.84","1722401719","6917276","8446126194080","33920185518"
"26","027740","마니커","KOSPI","776","696","-80","-10.31","1706288401","6852564","1470720069754","5906506304"
"27","034020","두산중공업","KOSPI","5199","13250","8051","154.86","1541754921","6191787","16766725076100","67336245286"
"28","011150","CJ씨푸드","KOSPI","2710","4780","2070","76.38","1505713913","6047044","6686090359575","26851768512"
"29","005690","파미셀","KOSPI","8450","15900","7450","88.17","1447935766","5815003","28664421220070","115118157510"
"30","005880","대한해운","KOSPI","2210","3300","1090","49.32","1421336977","5708181","4738128560945","19028628759"
"31","004140","동방","KOSPI","1525","4835","3310","217.05","1406589791","5648955","3753577559065","15074608671"
"32","008700","아남전자","KOSPI","2140","3180","1040","48.60","1387005969","5570305","3566634043656","14323831501"
"33","009460","한창제지","KOSPI","3105","2220","-885","-28.50","1382739783","5553172","4022515665170","16154681386"
"34","003520","영진약품","KOSPI","5880","7240","1360","23.13","1374690477","5520845","11337120399620","45530604015"
"35","002900","동양물산","KOSPI","1150","1620","470","40.87","1371572551","5508323","1781983370921","7156559723"
"36","017180","명문제약","KOSPI","4735","7380","2645","55.86","1347124254","5410138","9544774107085","38332426133"
"37","000890","보해양조","KOSPI","1175","943","-232","-19.74","1322290954","5310405","1262794436726","5071463601"
"38","013700","까뮤이앤씨","KOSPI","1810","3285","1475","81.49","1319883380","5300736","2959618563617","11886018328"
"39","011200","HMM","KOSPI","3745","14700","10955","292.52","1286251297","5165668","11941159332610","47956463183"
"40","214330","금호에이치티","KOSPI","1600","2310","710","44.38","1263595840","5074682","4315691643695","17332094955"
"41","001340","백광산업","KOSPI","2470","4365","1895","76.72","1251242828","5025072","4304724357598","17288049629"
"42","004770","써니전자","KOSPI","6010","4635","-1375","-22.88","1204096573","4835729","5179926579150","20802917989"
"43","002070","비비안","KOSPI","8679","5800","-2879","-33.17","1196725192","4806125","2294263291038","9213908799"
"44","001780","알루코","KOSPI","2640","5400","2760","104.55","1184668939","4757707","5390650642505","21649199367"
"45","012280","영화금속","KOSPI","1810","2840","1030","56.91","1159301798","4655831","2492168332725","10008708164"
"46","005360","모나미","KOSPI","3635","5510","1875","51.58","1151428488","4624211","6663605643325","26761468447"
"47","002760","보락","KOSPI","2135","2290","155","7.26","1136464528","4564115","2782929019049","11176421763"
"48","001470","삼부토건","KOSPI","711","3705","2994","421.10","1099220740","4414541","3294597207484","13231314086"
"49","012690","모나리자","KOSPI","3980","4750","770","19.35","1093778117","4392683","7292985708495","29289099231"
"50","003000","부광약품","KOSPI","13250","24150","10900","82.26","1087605934","4367895","33523997634950","134634528654"
